id,time,priority,dmnd,short,prtdown,ttldown,prtgdown,ttlgdown
C,231.7633928571427,0,12,-6,0.0,0.0,-27966.1160714282,-11570415.566141365
D,231.7633928571427,6,7,0,0.0,0.0,-27966.1160714282,-11598381.682212794
E,231.7633928571427,6,7,0,0.0,0.0,-27966.1160714282,-11626347.798284223
F,231.7633928571427,1,10,0,0.0,4.125,-27966.1160714282,-11654313.914355652
G,231.7633928571427,1,10,-2,0.0,0.0,-34957.64508928525,-11689271.559444938
H,231.7633928571427,4,12,-1,0.0,0.0,-38453.40959821378,-11727724.969043152
I,231.7633928571427,4,12,0,0.0,0.0,-38453.40959821378,-11766178.378641367
J,231.7633928571427,8,30,0,0.0,0.0,-38453.40959821378,-11804631.788239582
A,234.35957403707437,0,12,0,0.0,0.0,0.0,-11804631.788239582
B,234.35957403707437,0,12,-2,0.0,0.0,-6672.970371466418,-11811304.758611048
C,234.35957403707437,0,12,-6,0.0,0.0,-26691.881485865673,-11837996.640096914
D,234.35957403707437,6,7,0,0.0,0.0,-26691.881485865673,-11864688.52158278
E,234.35957403707437,6,7,0,0.0,0.0,-26691.881485865673,-11891380.403068647
F,234.35957403707437,1,10,0,0.0,4.125,-26691.881485865673,-11918072.284554513
G,234.35957403707437,1,10,-3,0.0,0.0,-36701.3370430653,-11954773.621597579
H,234.35957403707437,4,12,-1,0.0,0.0,-40037.82222879851,-11994811.443826377
I,234.35957403707437,4,12,0,0.0,0.0,-40037.82222879851,-12034849.266055176
J,234.35957403707437,8,30,0,0.0,0.0,-40037.82222879851,-12074887.088283975
A,235.82142857142878,0,12,0,0.0,0.0,0.0,-12074887.088283975
B,235.82142857142878,0,12,-2,0.0,0.0,-5490.123759514145,-12080377.212043488
C,235.82142857142878,0,12,-7,0.0,0.0,-24705.55691781365,-12105082.768961303
D,235.82142857142878,6,7,0,0.0,0.0,-24705.55691781365,-12129788.325879117
E,235.82142857142878,6,7,0,0.0,0.0,-24705.55691781365,-12154493.882796932
F,235.82142857142878,1,10,0,0.0,4.125,-24705.55691781365,-12179199.439714747
G,235.82142857142878,1,10,-3,0.0,0.0,-32940.742557084865,-12212140.18227183
H,235.82142857142878,4,12,-1,0.0,0.0,-35685.80443684194,-12247825.986708673
I,235.82142857142878,4,12,0,0.0,0.0,-35685.80443684194,-12283511.791145515
J,235.82142857142878,8,30,0,0.0,0.0,-35685.80443684194,-12319197.595582357
A,240.547619047619,0,12,1,0.0,0.0,2448.4311224489284,-12316749.164459908
B,240.547619047619,0,12,-2,0.0,0.0,-2448.4311224489284,-12319197.595582357
C,240.547619047619,0,12,-7,0.0,0.0,-19587.448979591427,-12338785.044561949
D,240.547619047619,6,7,0,0.0,0.0,-19587.448979591427,-12358372.49354154
E,240.547619047619,6,7,0,0.0,0.0,-19587.448979591427,-12377959.942521133
F,240.547619047619,1,10,0,0.0,4.125,-19587.448979591427,-12397547.391500724
G,240.547619047619,1,10,-3,0.0,0.0,-26932.742346938212,-12424480.133847663
H,240.547619047619,4,12,-1,0.0,0.0,-29381.17346938714,-12453861.30731705
I,240.547619047619,4,12,0,0.0,0.0,-29381.17346938714,-12483242.480786437
J,240.547619047619,8,30,0,0.0,0.0,-29381.17346938714,-12512623.654255824
A,246,0,12,0,0.0,0.0,0.0,-12512623.654255824
