[OrderedDict([('F-D', 1)]), '2019-12-27']
[OrderedDict([('B-D', 1)]), '2020-01-19']
[OrderedDict([('J-E', 1)]), '2020-01-29']
[OrderedDict([('J-E', 1)]), '2020-01-29']
[OrderedDict([('J-E', 1)]), '2020-01-29']
[OrderedDict([('J-E', 1)]), '2020-01-29']
[OrderedDict([('B-J', 1)]), '2020-01-29']
[OrderedDict([('F-J', 1)]), '2020-01-29']
[OrderedDict([('G-C', 1)]), '2020-02-01']
[OrderedDict([('B-C', 1)]), '2020-02-01']
[OrderedDict([('G-C', 1)]), '2020-02-01']
[OrderedDict([('F-C', 1)]), '2020-02-01']
[OrderedDict([('B-C', 1)]), '2020-02-01']
[OrderedDict([('F-C', 1)]), '2020-02-01']
[OrderedDict([('G-C', 1)]), '2020-02-11']
[OrderedDict([('J-D', 1)]), '2020-02-20']
[OrderedDict([('F-D', 1)]), '2020-02-20']
[OrderedDict([('H-J', 1)]), '2020-02-20']
[OrderedDict([('C-A', 1)]), '2020-03-22']
[OrderedDict([('C-A', 1)]), '2020-03-22']
[OrderedDict([('C-A', 1)]), '2020-03-22']
[OrderedDict([('C-J', 1)]), '2020-04-05']
[OrderedDict([('A-J', 1)]), '2020-05-11']
[OrderedDict([('E-H', 1)]), '2020-10-15']
[OrderedDict([('J-B', 1), ('E-J', 1)]), '2020-11-03']
[OrderedDict([('E-I', 1)]), '2021-01-12']
[OrderedDict([('E-I', 1)]), '2021-01-12']
[OrderedDict([('E-I', 1)]), '2021-01-12']
[OrderedDict([('E-I', 1)]), '2021-01-12']
[OrderedDict([('J-A', 1)]), '2021-01-13']
[OrderedDict([('E-I', 1)]), '2021-02-01']
[OrderedDict([('J-B', 2), ('I-J', 1)]), '2021-02-26']
[OrderedDict([('I-F', 1)]), '2021-03-06']
[OrderedDict([('I-G', 1)]), '2021-05-23']
[OrderedDict([('D-F', 1)]), '2021-06-18']
[OrderedDict([('D-J', 1)]), '2021-08-30']
[OrderedDict([('C-J', 1)]), '2021-09-04']
[OrderedDict([('J-G', 2)]), '2021-12-12']
[OrderedDict([('J-F', 2), ('C-J', 1), ('D-J', 1)]), '2021-12-14']
[OrderedDict([('A-J', 1)]), '2022-01-18']
[OrderedDict([('A-J', 1)]), '2022-01-20']
[OrderedDict([('B-E', 1)]), '2022-07-28']
[OrderedDict([('J-E', 2)]), '2022-10-29']
[OrderedDict([('J-D', 1), ('F-J', 1)]), '2023-03-16']
[OrderedDict([('J-A', 2), ('E-J', 1), ('G-J', 1)]), '2023-10-20']
[OrderedDict([('J-C', 1), ('E-J', 1)]), '2023-11-18']
[OrderedDict([('J-B', 1), ('D-J', 1)]), '2024-03-26']
[OrderedDict([('D-J', 1)]), '2024-09-11']
[OrderedDict([('E-J', 1)]), '2024-09-11']
[OrderedDict([('D-J', 1)]), '2024-09-11']
[OrderedDict([('E-J', 1)]), '2024-09-11']
[OrderedDict([('D-J', 1)]), '2024-09-11']
[OrderedDict([('I-J', 1)]), '2024-09-11']
[OrderedDict([('E-J', 1)]), '2024-09-11']
[OrderedDict([('D-J', 1)]), '2024-09-11']
[OrderedDict([('I-J', 1)]), '2024-09-11']
[OrderedDict([('H-J', 1)]), '2024-09-11']
[OrderedDict([('I-J', 1)]), '2024-09-11']
[OrderedDict([('H-J', 1)]), '2024-09-11']
[OrderedDict([('I-J', 1)]), '2024-09-11']
[OrderedDict([('H-J', 1)]), '2024-09-11']
[OrderedDict([('C-J', 1)]), '2024-09-11']
[OrderedDict([('A-J', 1)]), '2024-09-11']
[OrderedDict([('J-F', 1)]), '2024-11-22']
[OrderedDict([('J-G', 1)]), '2024-11-30']
[OrderedDict([('J-E', 1)]), '2024-12-09']
[OrderedDict([('J-E', 1)]), '2025-01-16']
[OrderedDict([('J-D', 1)]), '2025-02-23']
[OrderedDict([('J-D', 1)]), '2025-03-25']
[OrderedDict([('J-E', 1)]), '2025-04-05']
[OrderedDict([('J-D', 1)]), '2025-07-01']
[OrderedDict([('J-D', 2)]), '2025-08-15']
[OrderedDict([('J-E', 2)]), '2025-10-17']
[OrderedDict([('H-C', 1)]), '2026-06-27']
[OrderedDict([('I-A', 1)]), '2026-08-22']
[OrderedDict([('F-EOL', 1)]), '2026-09-18']
[OrderedDict([('F-EOL', 1)]), '2026-09-26']
[OrderedDict([('E-EOL', 1)]), '2026-11-24']
[OrderedDict([('B-EOL', 1)]), '2027-01-12']
[OrderedDict([('H-B', 1)]), '2027-01-12']
[OrderedDict([('G-EOL', 1)]), '2027-01-14']
[OrderedDict([('G-EOL', 1)]), '2027-01-23']
[OrderedDict([('G-EOL', 1)]), '2027-01-24']
[OrderedDict([('E-EOL', 1)]), '2027-01-24']
[OrderedDict([('A-EOL', 1)]), '2027-01-25']
[OrderedDict([('I-A', 1)]), '2027-01-25']
[OrderedDict([('B-EOL', 1)]), '2027-02-03']
[OrderedDict([('H-B', 1)]), '2027-02-03']
[OrderedDict([('D-EOL', 1)]), '2027-02-22']
[OrderedDict([('A-EOL', 1)]), '2027-02-22']
[OrderedDict([('H-A', 1)]), '2027-02-22']
[OrderedDict([('A-EOL', 1)]), '2027-03-08']
[OrderedDict([('H-A', 1)]), '2027-03-08']
[OrderedDict([('D-EOL', 1)]), '2027-03-23']
[OrderedDict([('F-EOL', 1)]), '2027-03-26']
[OrderedDict([('F-EOL', 1)]), '2027-04-20']
[OrderedDict([('D-EOL', 1)]), '2027-04-28']
[OrderedDict([('I-G', 1)]), '2027-05-09']
[OrderedDict([('G-EOL', 1)]), '2027-05-09']
[OrderedDict([('I-G', 1)]), '2027-05-09']
[OrderedDict([('E-EOL', 1)]), '2027-05-10']
[OrderedDict([('A-EOL', 1)]), '2027-05-24']
[OrderedDict([('I-F', 1)]), '2027-05-27']
[OrderedDict([('A-EOL', 1)]), '2027-06-13']
[OrderedDict([('G-EOL', 1)]), '2027-07-12']
[OrderedDict([('H-G', 1)]), '2027-07-12']
[OrderedDict([('E-EOL', 1)]), '2027-07-22']
[OrderedDict([('B-EOL', 1)]), '2027-07-24']
[OrderedDict([('G-EOL', 1)]), '2027-08-06']
[OrderedDict([('I-G', 1)]), '2027-08-06']
[OrderedDict([('F-EOL', 1)]), '2027-08-16']
[OrderedDict([('H-F', 1)]), '2027-08-16']
[OrderedDict([('E-EOL', 1)]), '2027-08-17']
[OrderedDict([('D-EOL', 1)]), '2027-08-23']
[OrderedDict([('I-F', 1)]), '2027-09-01']
[OrderedDict([('H-G', 2)]), '2027-10-10']
[OrderedDict([('C-EOL', 1)]), '2027-10-28']
[OrderedDict([('D-EOL', 1)]), '2027-11-06']
[OrderedDict([('E-EOL', 1)]), '2027-11-06']
[OrderedDict([('I-E', 1)]), '2027-11-06']
[OrderedDict([('F-EOL', 1)]), '2027-12-07']
[OrderedDict([('J-F', 1)]), '2027-12-07']
[OrderedDict([('J-D', 1)]), '2027-12-22']
[OrderedDict([('J-F', 2)]), '2027-12-30']
[OrderedDict([('J-D', 1)]), '2028-01-16']
[OrderedDict([('B-EOL', 1)]), '2028-02-04']
[OrderedDict([('B-EOL', 1)]), '2028-03-01']
[OrderedDict([('E-EOL', 1)]), '2028-03-06']
[OrderedDict([('J-E', 1)]), '2028-03-06']
[OrderedDict([('G-EOL', 1)]), '2028-03-25']
[OrderedDict([('G-EOL', 1)]), '2028-03-25']
[OrderedDict([('G-EOL', 1)]), '2028-03-25']
[OrderedDict([('G-EOL', 1)]), '2028-03-25']
[OrderedDict([('G-EOL', 1)]), '2028-03-25']
[OrderedDict([('J-G', 1)]), '2028-03-25']
[OrderedDict([('J-G', 1)]), '2028-03-25']
[OrderedDict([('J-G', 1)]), '2028-03-25']
[OrderedDict([('J-G', 1)]), '2028-03-25']
[OrderedDict([('J-G', 1)]), '2028-03-25']
[OrderedDict([('J-E', 1)]), '2028-04-01']
[OrderedDict([('F-EOL', 1)]), '2028-04-13']
[OrderedDict([('F-EOL', 1)]), '2028-04-13']
[OrderedDict([('F-EOL', 1)]), '2028-04-13']
[OrderedDict([('F-EOL', 1)]), '2028-04-13']
[OrderedDict([('F-EOL', 1)]), '2028-04-13']
[OrderedDict([('J-F', 1)]), '2028-04-13']
[OrderedDict([('J-F', 1)]), '2028-04-13']
[OrderedDict([('J-F', 1)]), '2028-04-13']
[OrderedDict([('J-F', 1)]), '2028-04-13']
[OrderedDict([('J-F', 1)]), '2028-04-13']
[OrderedDict([('J-D', 1)]), '2028-04-14']
[OrderedDict([('J-E', 1)]), '2028-04-29']
[OrderedDict([('E-EOL', 1)]), '2028-06-08']
[OrderedDict([('E-EOL', 1)]), '2028-06-08']
[OrderedDict([('E-EOL', 1)]), '2028-06-08']
[OrderedDict([('E-EOL', 1)]), '2028-06-08']
[OrderedDict([('J-E', 1)]), '2028-06-08']
[OrderedDict([('J-E', 1)]), '2028-06-08']
